2019-12-13T14:01:14.956Z [info] 	TrueAutomation.IO Client is listening on port 9515
2019-12-13T14:01:16.045Z [info] 	Starting TrueAutomation.IO client
2019-12-13T14:01:16.045Z [info] 	API key: 33426fca-8197-44eb-918f-356cc72ba53f
2019-12-13T14:01:16.045Z [info] 	Project name: mw-trueautomation
2019-12-13T14:01:16.045Z [info] 	Cloud server: https://app.trueautomation.io
2019-12-13T14:01:16.046Z [info] 	Starting chromeDriver /Users/tempuser/.trueautomation/chromedriver/chromedriver_mac64_78.0.3904.105 on port 9516...
2019-12-13T14:01:22.626Z [info] 	1 Create session response: {"value":{"capabilities":{"acceptInsecureCerts":false,"browserName":"chrome","browserVersion":"79.0.3945.79","chrome":{"chromedriverVersion":"78.0.3904.105 (60e2d8774a8151efa6a00b1f358371b1e0e07ee2-refs/branch-heads/3904@{#877})","userDataDir":"/var/folders/72/sz7nwm191gddft3cvjk557h40000gn/T/.com.google.Chrome.kMtDw0"},"goog:chromeOptions":{"debuggerAddress":"localhost:50140"},"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platformName":"mac os x","proxy":{},"setWindowRect":true,"strictFileInteractability":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unhandledPromptBehavior":"dismiss and notify"},"sessionId":"8d1fe44bdb2befffdf9161fd08a9f604"}}
2019-12-13T14:01:22.644Z [info] 	1 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/url:  {"url":"https://ariat-dev.moovweb.cloud/"}
2019-12-13T14:01:24.693Z [info] 	2 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.0);","args":[]}
2019-12-13T14:01:25.002Z [info] 	3 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.1);","args":[]}
2019-12-13T14:01:25.475Z [info] 	4 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.2);","args":[]}
2019-12-13T14:01:25.802Z [info] 	5 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.3);","args":[]}
2019-12-13T14:01:26.115Z [info] 	6 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.4);","args":[]}
2019-12-13T14:01:26.427Z [info] 	7 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.5);","args":[]}
2019-12-13T14:01:26.740Z [info] 	8 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.6);","args":[]}
2019-12-13T14:01:27.053Z [info] 	9 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.7);","args":[]}
2019-12-13T14:01:27.406Z [info] 	10 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.8);","args":[]}
2019-12-13T14:01:27.721Z [info] 	11 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.9);","args":[]}
2019-12-13T14:01:28.174Z [info] 	12 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*1.0);","args":[]}
2019-12-13T14:01:28.486Z [info] 	13 Sending POST request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604/execute/sync:  {"script":"window.scrollTo(0,0);","args":[]}
2019-12-13T14:01:30.006Z [info] 	15 Sending element request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604:  {"using":"css selector","value":"(//*[contains(text(), 'New Arrivals')]/following-sibling::*//*[contains(text(),'$')])"}
2019-12-13T14:01:30.009Z [info] 	15 Element locator: {"value":"(//*[contains(text(), 'New Arrivals')]/following-sibling::*//*[contains(text(),'$')])","using":"css selector","fromTa":false}
2019-12-13T14:01:30.021Z [info] 	Element response: {"value":{"error":"invalid selector","message":"invalid selector: An invalid or illegal selector was specified\n  (Session info: chrome=79.0.3945.79)","stacktrace":"0   chromedriver_mac64_78.0.3904.105    0x000000010f9abe99 chromedriver_mac64_78.0.3904.105 + 3747481\n1   chromedriver_mac64_78.0.3904.105    0x000000010f9404d3 chromedriver_mac64_78.0.3904.105 + 3306707\n2   chromedriver_mac64_78.0.3904.105    0x000000010f6cffef chromedriver_mac64_78.0.3904.105 + 749551\n3   chromedriver_mac64_78.0.3904.105    0x000000010f6d2dc5 chromedriver_mac64_78.0.3904.105 + 761285\n4   chromedriver_mac64_78.0.3904.105    0x000000010f6d2bd9 chromedriver_mac64_78.0.3904.105 + 760793\n5   chromedriver_mac64_78.0.3904.105    0x000000010f6d2e57 chromedriver_mac64_78.0.3904.105 + 761431\n6   chromedriver_mac64_78.0.3904.105    0x000000010f63c974 chromedriver_mac64_78.0.3904.105 + 145780\n7   chromedriver_mac64_78.0.3904.105    0x000000010f6678f1 chromedriver_mac64_78.0.3904.105 + 321777\n8   chromedriver_mac64_78.0.3904.105    0x000000010f65939d chromedriver_mac64_78.0.3904.105 + 263069\n9   chromedriver_mac64_78.0.3904.105    0x000000010f665a3b chromedriver_mac64_78.0.3904.105 + 313915\n10  chromedriver_mac64_78.0.3904.105    0x000000010f659663 chromedriver_mac64_78.0.3904.105 + 263779\n11  chromedriver_mac64_78.0.3904.105    0x000000010f633b0d chromedriver_mac64_78.0.3904.105 + 109325\n12  chromedriver_mac64_78.0.3904.105    0x000000010f634aa5 chromedriver_mac64_78.0.3904.105 + 113317\n13  chromedriver_mac64_78.0.3904.105    0x000000010f96ef7f chromedriver_mac64_78.0.3904.105 + 3497855\n14  chromedriver_mac64_78.0.3904.105    0x000000010f97bb7d chromedriver_mac64_78.0.3904.105 + 3550077\n15  chromedriver_mac64_78.0.3904.105    0x000000010f97b908 chromedriver_mac64_78.0.3904.105 + 3549448\n16  chromedriver_mac64_78.0.3904.105    0x000000010f94e029 chromedriver_mac64_78.0.3904.105 + 3362857\n17  chromedriver_mac64_78.0.3904.105    0x000000010f97c3d8 chromedriver_mac64_78.0.3904.105 + 3552216\n18  chromedriver_mac64_78.0.3904.105    0x000000010f962a37 chromedriver_mac64_78.0.3904.105 + 3447351\n19  chromedriver_mac64_78.0.3904.105    0x000000010f991f94 chromedriver_mac64_78.0.3904.105 + 3641236\n20  chromedriver_mac64_78.0.3904.105    0x000000010f9b1c87 chromedriver_mac64_78.0.3904.105 + 3771527\n21  libsystem_pthread.dylib             0x00007fff6f8f8d36 _pthread_start + 125\n22  libsystem_pthread.dylib             0x00007fff6f8f558f thread_start + 15\n"}}
2019-12-13T14:01:30.037Z [info] 	16 Sending element request to http://localhost:9516/session/8d1fe44bdb2befffdf9161fd08a9f604:  {"using":"css selector","value":"(//*[contains(text(), 'New Arrivals')]/following-sibling::*//*[contains(text(),'$')])"}
