2020-01-13T11:52:28.332Z [info] 	TrueAutomation.IO Client is listening on port 9515
2020-01-13T11:52:29.463Z [info] 	Starting TrueAutomation.IO client
2020-01-13T11:52:29.463Z [info] 	API key: 8ceb34cf-4ee4-46dd-8ccb-9f733013341a
2020-01-13T11:52:29.464Z [info] 	Project name: newnewnew
2020-01-13T11:52:29.464Z [info] 	Cloud server: http://app-dev.trueautomation.io
2020-01-13T11:52:29.464Z [info] 	Starting chromeDriver /Users/juliaarapova/.trueautomation/chromedriver/chromedriver_mac64_79.0.3945.36 on port 9516...
2020-01-13T11:52:31.507Z [info] 	1 Create session response: {"value":{"capabilities":{"acceptInsecureCerts":false,"browserName":"chrome","browserVersion":"79.0.3945.117","chrome":{"chromedriverVersion":"79.0.3945.36 (3582db32b33893869b8c1339e8f4d9ed1816f143-refs/branch-heads/3945@{#614})","userDataDir":"/var/folders/vv/_x0x6cds6_l48m8ntvvw30sw0000gn/T/.com.google.Chrome.I5FhfX"},"goog:chromeOptions":{"debuggerAddress":"localhost:64395"},"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platformName":"mac os x","proxy":{},"setWindowRect":true,"strictFileInteractability":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unhandledPromptBehavior":"dismiss and notify"},"sessionId":"994398c2593eec770761140b7b76f720"}}
2020-01-13T11:52:31.526Z [info] 	1 Sending POST request to http://localhost:9516/session/994398c2593eec770761140b7b76f720/url:  {"url":"https://mw-dev.ariat.com/"}
2020-01-13T11:52:32.404Z [info] 	2 Sending POST request to http://localhost:9516/session/994398c2593eec770761140b7b76f720/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.0);","args":[]}
2020-01-13T11:52:32.927Z [info] 	3 Sending POST request to http://localhost:9516/session/994398c2593eec770761140b7b76f720/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.1);","args":[]}
2020-01-13T11:52:33.484Z [info] 	4 Sending POST request to http://localhost:9516/session/994398c2593eec770761140b7b76f720/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.2);","args":[]}
2020-01-13T11:52:33.997Z [info] 	5 Sending POST request to http://localhost:9516/session/994398c2593eec770761140b7b76f720/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.3);","args":[]}
2020-01-13T11:52:34.512Z [info] 	6 Sending POST request to http://localhost:9516/session/994398c2593eec770761140b7b76f720/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.4);","args":[]}
2020-01-13T11:52:35.023Z [info] 	7 Sending POST request to http://localhost:9516/session/994398c2593eec770761140b7b76f720/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.5);","args":[]}
