2020-01-13T12:07:57.457Z [info] 	TrueAutomation.IO Client is listening on port 9515
2020-01-13T12:07:58.609Z [info] 	Starting TrueAutomation.IO client
2020-01-13T12:07:58.609Z [info] 	API key: 8ceb34cf-4ee4-46dd-8ccb-9f733013341a
2020-01-13T12:07:58.609Z [info] 	Project name: newnewnew
2020-01-13T12:07:58.609Z [info] 	Cloud server: http://app-dev.trueautomation.io
2020-01-13T12:07:58.610Z [info] 	Starting chromeDriver /Users/juliaarapova/.trueautomation/chromedriver/chromedriver_mac64_79.0.3945.36 on port 9516...
2020-01-13T12:08:00.761Z [info] 	1 Create session response: {"value":{"capabilities":{"acceptInsecureCerts":false,"browserName":"chrome","browserVersion":"79.0.3945.117","chrome":{"chromedriverVersion":"79.0.3945.36 (3582db32b33893869b8c1339e8f4d9ed1816f143-refs/branch-heads/3945@{#614})","userDataDir":"/var/folders/vv/_x0x6cds6_l48m8ntvvw30sw0000gn/T/.com.google.Chrome.1WOwV6"},"goog:chromeOptions":{"debuggerAddress":"localhost:57105"},"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platformName":"mac os x","proxy":{},"setWindowRect":true,"strictFileInteractability":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unhandledPromptBehavior":"dismiss and notify"},"sessionId":"9e4d9acefa2eb249fc38b83a1a3cb6c6"}}
2020-01-13T12:08:00.779Z [info] 	1 Sending POST request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6/url:  {"url":"https://mw-dev.ariat.com/"}
2020-01-13T12:08:01.657Z [info] 	2 Sending POST request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.0);","args":[]}
2020-01-13T12:08:02.169Z [info] 	3 Sending POST request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.1);","args":[]}
2020-01-13T12:08:02.681Z [info] 	4 Sending POST request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.2);","args":[]}
2020-01-13T12:08:03.194Z [info] 	5 Sending POST request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.3);","args":[]}
2020-01-13T12:08:03.707Z [info] 	6 Sending POST request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.4);","args":[]}
2020-01-13T12:08:04.219Z [info] 	7 Sending POST request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.5);","args":[]}
2020-01-13T12:08:04.735Z [info] 	8 Sending POST request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.6);","args":[]}
2020-01-13T12:08:05.277Z [info] 	9 Sending POST request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.7);","args":[]}
2020-01-13T12:08:05.789Z [info] 	10 Sending POST request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.8);","args":[]}
2020-01-13T12:08:06.304Z [info] 	11 Sending POST request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*0.9);","args":[]}
2020-01-13T12:08:06.818Z [info] 	12 Sending POST request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6/execute/sync:  {"script":"window.scrollTo(0,document.body.scrollHeight*1.0);","args":[]}
2020-01-13T12:08:07.339Z [info] 	14 Sending element request to http://localhost:9516/session/9e4d9acefa2eb249fc38b83a1a3cb6c6:  {"using":"xpath","value":"//h6[text() = 'SUPPORT']"}
2020-01-13T12:08:07.342Z [info] 	14 Element locator: {"value":"//h6[text() = 'SUPPORT']","using":"xpath","fromTa":false}
2020-01-13T12:08:07.355Z [info] 	Element response: {"value":[{"element-6066-11e4-a52e-4f735466cecf":"54474cbc-4d8c-43a9-ae03-11539331aa0c"}]}
